                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     70,                 1.3278,                0.67693,                0.99638,                0.60328,                0.42909,                0.43771,                 0.1721,                 2.4234,                 1.8389,                 1.6134,              0.0013169,              0.0013169,              0.0013169
                     71,                 1.2255,                0.62898,                0.96343,                0.42676,                0.48718,                0.40802,                0.15685,                 2.6476,                 1.8627,                 1.8076,               0.001307,               0.001307,               0.001307
                     72,                 1.2967,                0.69576,                 1.0018,                0.52904,                0.38462,                0.36678,                0.12112,                 2.7383,                 2.0598,                 1.8585,              0.0012971,              0.0012971,              0.0012971
                     73,                 1.2145,                0.64822,                0.95992,                0.54572,                0.41026,                0.36017,                0.11964,                 2.7184,                 2.1188,                 1.8248,              0.0012872,              0.0012872,              0.0012872
                     74,                 1.2299,                0.66295,                0.95273,                0.52677,                0.45679,                0.41715,                0.15162,                 2.6393,                 1.9545,                  1.727,              0.0012773,              0.0012773,              0.0012773
                     75,                 1.2387,                0.63669,                0.98141,                0.49058,                 0.4359,                0.41392,                0.16933,                 2.5936,                 1.9081,                 1.6992,              0.0012674,              0.0012674,              0.0012674
                     76,                 1.2216,                0.66156,                0.95053,                0.50523,                0.38462,                0.42152,                0.17608,                 2.6062,                 1.8902,                 1.7206,              0.0012575,              0.0012575,              0.0012575
                     77,                  1.353,                0.65956,                 1.0645,                0.59849,                0.45874,                0.45075,                0.17843,                  2.589,                 1.7215,                  1.722,              0.0012476,              0.0012476,              0.0012476
                     78,                 1.3934,                 0.7238,                  1.004,                0.61803,                0.48718,                0.47043,                0.17307,                 2.5974,                 1.6243,                 1.7124,              0.0012377,              0.0012377,              0.0012377
                     79,                 1.2843,                0.67424,                0.98288,                  0.519,                0.51282,                0.41229,                0.16578,                 2.6725,                 1.6738,                 1.7552,              0.0012278,              0.0012278,              0.0012278
                     80,                 1.2072,                0.64116,                0.97512,                  0.527,                 0.4359,                0.45771,                0.15538,                 2.7714,                 1.8345,                 1.8025,              0.0012179,              0.0012179,              0.0012179
                     81,                 1.3073,                 0.6809,                0.96004,                0.57983,                0.46005,                0.42918,                0.14862,                  2.746,                 1.8009,                 1.7567,               0.001208,               0.001208,               0.001208
                     82,                 1.2231,                0.62896,                 0.9611,                0.49816,                0.48718,                0.44691,                0.16872,                 2.6754,                 1.7624,                 1.7015,              0.0011981,              0.0011981,              0.0011981
                     83,                 1.2261,                0.62753,                0.96747,                0.61264,                0.44629,                 0.4495,                0.14953,                 2.7177,                 1.8153,                 1.7176,              0.0011882,              0.0011882,              0.0011882
                     84,                 1.1765,                0.60464,                0.93591,                0.59243,                0.46154,                0.42029,                0.14402,                 2.6305,                 1.9364,                 1.6568,              0.0011783,              0.0011783,              0.0011783
                     85,                 1.0583,                0.55535,                0.91443,                0.63795,                0.45202,                0.43981,                 0.1392,                 2.6664,                 1.9115,                 1.6969,              0.0011684,              0.0011684,              0.0011684
                     86,                 1.1368,                0.62309,                0.94171,                0.51796,                0.48718,                0.44293,                0.17458,                 2.5976,                  1.693,                 1.6929,              0.0011585,              0.0011585,              0.0011585
                     87,                 1.2304,                0.63849,                0.94906,                0.54353,                0.51282,                0.49777,                0.19112,                 2.6281,                 1.6087,                  1.773,              0.0011486,              0.0011486,              0.0011486
                     88,                 1.1791,                0.60774,                0.95732,                0.55732,                0.45212,                0.47439,                0.19423,                 2.5428,                 1.6093,                 1.7206,              0.0011387,              0.0011387,              0.0011387
                     89,                 1.0601,                0.55719,                 0.9256,                0.53803,                0.51282,                0.46598,                0.18536,                  2.628,                 1.5835,                 1.7955,              0.0011288,              0.0011288,              0.0011288
                     90,                 1.1564,                0.59386,                0.92625,                 0.5595,                0.48718,                0.47338,                0.16105,                 2.7648,                 1.6142,                 1.8816,              0.0011189,              0.0011189,              0.0011189
                     91,                 1.1285,                0.57159,                0.92336,                0.50265,                0.51282,                0.47764,                0.18055,                 2.6952,                  1.609,                 1.8337,               0.001109,               0.001109,               0.001109
                     92,                 1.0603,                0.57966,                0.91502,                0.56527,                 0.4359,                0.43772,                0.17969,                  2.494,                 1.6291,                 1.7339,              0.0010991,              0.0010991,              0.0010991
                     93,                   1.06,                0.56512,                 0.9179,                0.64499,                0.46154,                0.49129,                0.17258,                 2.5869,                 1.6151,                  1.774,              0.0010892,              0.0010892,              0.0010892
                     94,                  1.084,                0.56673,                 0.9118,                 0.6619,                0.46154,                0.46533,                0.16126,                 2.6237,                 1.6577,                 1.7956,              0.0010793,              0.0010793,              0.0010793
                     95,                 1.0766,                0.55811,                0.93762,                0.51449,                0.48914,                0.42388,                0.13752,                 2.7642,                 1.8083,                 1.8721,              0.0010694,              0.0010694,              0.0010694
                     96,                 1.0998,                0.57085,                0.91553,                0.56559,                0.53846,                0.46415,                0.18911,                 2.5603,                 1.8389,                 1.7115,              0.0010595,              0.0010595,              0.0010595
                     97,                 1.0105,                0.52456,                  0.918,                0.66805,                0.53846,                0.47076,                0.15745,                 2.6322,                 1.7077,                 1.7726,              0.0010496,              0.0010496,              0.0010496
                     98,                 1.0618,                0.56341,                0.91685,                0.58039,                0.53212,                0.43889,                0.15725,                 2.6339,                  1.678,                 1.8188,              0.0010397,              0.0010397,              0.0010397
                     99,                 1.0546,                0.53183,                0.91394,                0.46792,                0.54123,                0.44452,                 0.1786,                 2.5706,                 1.7217,                 1.7249,              0.0010298,              0.0010298,              0.0010298
                    100,                 1.0055,                0.55082,                0.91297,                0.55747,                0.48459,                0.45864,                0.17672,                 2.6374,                 1.6433,                 1.7707,              0.0010199,              0.0010199,              0.0010199
                    101,                0.99341,                0.53584,                0.91411,                0.60704,                0.53846,                0.48628,                0.17066,                 2.5895,                 1.7273,                 1.7991,                0.00101,                0.00101,                0.00101
                    102,                 1.0715,                0.56806,                0.93339,                0.54579,                0.53846,                0.43314,                0.15949,                 2.5548,                 1.7334,                  1.787,              0.0010001,              0.0010001,              0.0010001
                    103,                0.99121,                0.52078,                0.90454,                 0.5366,                0.48718,                  0.428,                0.15859,                 2.5536,                 1.7857,                 1.7489,              0.0009902,              0.0009902,              0.0009902
                    104,                0.97245,                0.50533,                0.90836,                0.57797,                0.53846,                0.49674,                0.19993,                 2.6197,                 1.5693,                 1.7138,              0.0009803,              0.0009803,              0.0009803
                    105,                 1.0954,                0.55018,                0.93745,                0.58166,                0.60622,                 0.5841,                0.26338,                 2.4625,                 1.4485,                 1.7332,              0.0009704,              0.0009704,              0.0009704
